restaurant,link,michelin guide,address,price,cuisine,michelin guide point of view,facilities & services,contact number,website,opening hours,michelin stars,location_lat,location_long
Hofmann,https://guide.michelin.com/en/catalunya/barcelona/restaurant/hofmann,MICHELIN GUIDE ESPAÑA,"La Granada del Penedès 14-16, Barcelona, 08006, Spain",49 - 82 EUR,Modern Cuisine,"The word “gastronomy” reflects the great passion of Mey Hofmann, the founder-chef who created the guidelines that are followed in one of the country’s most influential restaurant schools. Her daughter Silvia and her teaching staff perpetuate her work here, producing cuisine that is full of creativity.","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
M
Diners Club credit card
}
Mastercard credit card
E
Non-smoking restaurant
{
Private dining room
Service included
X
Visa credit card
a
Wheelchair access
Show Less
",+34 932 18 71 65,www.hofmann-bcn.com,"Closed: 24 December-6 January, 1-31 August, Saturday, Sunday",1,41.3970944,2.1529434
Hisop,https://guide.michelin.com/en/catalunya/barcelona/restaurant/hisop,MICHELIN GUIDE ESPAÑA,"Passatge de Marimon 9, Barcelona, 08021, Spain",60 - 75 EUR,Creative,"Because of its size, this restaurant named after an aromatic medicinal plant offers guests an intimate and modern dining experience. In its minimalist dining room, enjoy fresh and creative dishes based around traditional recipes, always prepared using local and seasonal products. Interesting wine pairing options.","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
M
Diners Club credit card
}
Mastercard credit card
E
Non-smoking restaurant
X
Visa credit card
Show Less
",+34 932 41 32 33,www.hisop.com,"Closed: 1-7 January, Sunday",1,41.39457135,2.148174302
Sankt Benedikt,https://guide.michelin.com/en/nordrhein-westfalen/aachen/restaurant/sankt-benedikt,MICHELIN GUIDE GERMANY,"Benediktusplatz 12, Aachen, 52076, Germany",48 - 155 EUR,"Creative, Modern French",Temporarily closed due to flood damage. Maximilian Kreus is the second generation of his family to earn a Michelin star in this charmingly restored old restaurant. His cuisine centres on excellent produce and fine flavours and shows classic roots and creativity in equal measure.,"
Booking essential
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
X
Visa credit card
Show Less
",+49 2408 2888,www.stbenedikt.de,"Closed: 27 February-6 March, 25 July-8 August, Monday, Tuesday, Wednesday, lunch: Thursday-Saturday, Sunday",1,50.7282927,6.183493
Via Veneto,https://guide.michelin.com/en/catalunya/barcelona/restaurant/via-veneto,MICHELIN GUIDE ESPAÑA,"Ganduxer 10, Barcelona, 08021, Spain",65 - 150 EUR,Classic Cuisine,"A famous property in attractive Belle Époque style with a dining room laid out on several levels and a number of private dining areas. Impressively updated classic menu with game in season and interesting tasting menus. Guests can visit the superb wine cellar here, featuring an outstanding collection of Spanish and French wines.","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
M
Diners Club credit card
}
Mastercard credit card
E
Non-smoking restaurant
N
Particularly interesting wine list
{
Private dining room
X
Visa credit card
Show Less
",+34 932 00 72 44,www.viavenetorestaurant.com,"Closed: lunch: Saturday, Sunday",1,41.392474,2.1391279
Alouette,https://guide.michelin.com/en/capital-region/copenhagen/restaurant/alouette,MICHELIN GUIDE DENMARK,"Sturlasgade 14, Copenhagen, 2300 S, Denmark",995 DKK,Modern Cuisine,"There’s an underground, rock ‘n’ roll vibe to this light, modern restaurant, with its hidden location in a former pencil factory, accessed via a graffiti-covered lift. The experienced chef works closely with local farmers to ensure ingredients are at their peak, and dishes are pared-back, balanced and sublimely flavoured, with sauces a highlight. The open fire is used to great effect.","
Booking essential
Credit card / Debit card accepted
R
Lift
}
Mastercard credit card
Show More
",+45 31 67 66 06,https://www.restaurantalouette.dk/,Nearby Restaurants,1,55.662718,12.575835
Le Belvédère,https://guide.michelin.com/en/occitanie/bozouls/restaurant/le-belvedere18262,MICHELIN GUIDE FRANCE,"11 route du Maquis-Jean-Pierre, Bozouls, 12340, France",45 - 112 EUR,Modern Cuisine,"A stone inn overlooking a grandiose natural amphitheatre (the ‘Trou de Bozouls’). The young chef went to university for a time before finding his vocation. His cooking is original and pure with lots of vegetables and locally produced ingredients. For an overnight stay, the rooms are simple and well maintained.","
V
American Express credit card
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
N
Particularly interesting wine list
{
Private dining room
û
Restaurant offering vegetarian menus
X
Visa credit card
€
With bedrooms
Show Less
",+33 5 65 44 92 66,https://www.belvedere-bozouls.com/,"Closed: 25 November-2 December, Monday, lunch: Tuesday-Wednesday, dinner: Sunday",1,44.4726186,2.7195539
Marchal,https://guide.michelin.com/en/capital-region/copenhagen/restaurant/marchal,MICHELIN GUIDE DENMARK,"Kongens Nytorv 34, Copenhagen, 1050 K, Denmark","450 - 3,145 DKK","Modern Cuisine, French Contemporary","Named after Hotel D’Angleterre’s 1755 founder, this stylish restaurant boasts a floor to ceiling wine cellar and views out over the Royal Square. Precisely prepared dishes are modern in their presentation but built on a classical French base. They also offer an extensive caviar collection.","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
M
Diners Club credit card
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
N
Particularly interesting wine list
{
Private dining room
X
Visa credit card
a
Wheelchair access
Show Less
",+45 33 12 00 94,http://www.marchal.dk/,MICHELIN GUIDE DENMARK,1,55.680596,12.584668
Kokkeriet,https://guide.michelin.com/en/capital-region/copenhagen/restaurant/kokkeriet,MICHELIN GUIDE DENMARK,"Kronprinsessegade 64, Copenhagen, 1306 K, Denmark","800 - 1,200 DKK",Modern Cuisine,"This very welcoming restaurant, once a corner shop, is intimate and contemporary. The kitchen takes Danish classics and adds its own modern interpretation; dishes are fresh and colourful and the beautiful sauces come with layers of flavour. The focus is on the tasting menu but vegetarians and vegans are also well looked after.","
V
American Express credit card
Booking essential
Credit card / Debit card accepted
M
Diners Club credit card
}
Mastercard credit card
E
Non-smoking restaurant
{
Private dining room
X
Visa credit card
Show Less
",+45 33 15 27 77,https://www.kokkeriet.dk/,"Closed: 24-26 December, 1-2 January, lunch: Monday-Saturday, Sunday",1,55.687517,12.585058
formel B,https://guide.michelin.com/en/capital-region/copenhagen/restaurant/formel-b,MICHELIN GUIDE DENMARK,"Vesterbrogade 182-184, Frederiksberg, Copenhagen, 1800 C, Denmark",450 - 995 DKK,Modern Cuisine,"The friendly team create a relaxed environment at this appealing modern restaurant. Menus provide flexibility and the complex small plates are crafted with an assured touch; try at least one of their signature dishes. The wine list offers plenty of Burgundy and Claret, along with some modern producers.","
T
Air conditioning
V
American Express credit card
Booking essential
Credit card / Debit card accepted
M
Diners Club credit card
}
Mastercard credit card
E
Non-smoking restaurant
N
Particularly interesting wine list
{
Private dining room
X
Visa credit card
Show Less
",+45 33 25 10 66,https://www.formelb.dk/,"Closed: lunch: Monday-Saturday, Sunday",1,55.6867243,12.5700724
Goldener Anker,https://guide.michelin.com/en/nordrhein-westfalen/dorsten/restaurant/goldener-anker,MICHELIN GUIDE GERMANY,"Lippetor 4, Dorsten, 46282, Germany",105 - 155 EUR,"Classic Cuisine, Modern Cuisine",Goldener Anker is every bit as popular as its entrepreneur and TV chef owner Björn Freitag – who is incidentally also the team chef for German football team FC Schalke 04. The food is classically based and seasonal with modern influences and the service is accomplished and friendly.,"
V
American Express credit card
f
Car park
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
{
Private dining room
X
Visa credit card
Show Less
",+49 2362 22553,https://www.bjoern-freitag.de/,"Closed: 24-31 December, 1-5 January, Monday, lunch: Tuesday-Saturday, Sunday",1,51.6628387,6.965371236
La Barbacane,https://guide.michelin.com/en/occitanie/carcassonne/restaurant/la-barbacane,MICHELIN GUIDE FRANCE,"Place Auguste-Pierre-Pont, Carcassonne, 11000, France",45 - 130 EUR,Classic Cuisine,"Established bang in the middle of the medieval city on the site of the former episcopal palace, the Town Hall abuts Saint Nazaire Basilica and overlooks the restaurant. Here, chef Jérôme Ryon woos us with culinary delights that pay tribute to regional produce in a Gothic Revival décor of heart-stopping magnificence: stained glass, coats of arms, a sculpted confessional box…","
T
Air conditioning
V
American Express credit card
f
Car park
Credit card / Debit card accepted
É
Garden or park
}
Mastercard credit card
E
Non-smoking restaurant
X
Visa credit card
€
With bedrooms
Show Less
",+33 4 68 71 98 71,www.cite-hotels.com/fr/etablissements/restaurant-la-barbacane.html,MICHELIN GUIDE FRANCE,1,43.20553565,2.362775155
Kiin Kiin,https://guide.michelin.com/en/capital-region/copenhagen/restaurant/kiin-kiin,MICHELIN GUIDE DENMARK,"Guldbergsgade 21, Copenhagen, 2200 N, Denmark","550 - 1,350 DKK","Thai, Contemporary","A charming restaurant, whose name means ‘come and eat’. Start with refined versions of street food in the moody lounge, then head for the tasteful dining room decorated with golden Buddhas and fresh flowers. Menus offer modern, personal interpretations of Thai dishes, which have vibrant flavour combinations.","
T
Air conditioning
V
American Express credit card
Booking essential
Credit card / Debit card accepted
M
Diners Club credit card
}
Mastercard credit card
E
Non-smoking restaurant
{
Private dining room
X
Visa credit card
Show Less
",+45 35 35 75 55,https://www.kiin.dk/,"Closed: lunch: Monday-Saturday, Sunday",1,55.691867,12.557239
Le Puits du Trésor,https://guide.michelin.com/en/occitanie/lastours/restaurant/le-puits-du-tresor,MICHELIN GUIDE FRANCE,"21 route des Quatre-Châteaux, Lastours, 11600, France",60 - 120 EUR,Modern Cuisine,"Jean-Marc Boyer is a truly passionate chef who finds inspiration on solitary walks in the surrounding hills: aromatic herbs, wild asparagus and garlic, which jazz up his colourful, flavoursome dishes. The minimalist interior by Régis Dho sports an almost Japanese accent, providing the perfect foil to Boyer’s pared-down culinary vision.","
T
Air conditioning
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
N
Particularly interesting wine list
û
Restaurant offering vegetarian menus
X
Visa credit card
a
Wheelchair access
Show Less
",+33 4 68 77 50 24,https://www.lepuitsdutresor.com/,"Closed: Monday, Tuesday, dinner: Sunday",1,43.3326612,2.3809619
Le Pré des Oréades,https://guide.michelin.com/en/liege/spa/restaurant/le-pre-des-oreades,MICHELIN GUIDE BELGIUM,"avenue du Professeur Henrijean 143, Spa, 4900, Belgium",37 - 84 EUR,Classic French,"A 19C villa, set on a small hillside two minutes from the centre of Spa, is home to a few guestrooms and a friendly restaurant. Nicolas Bodart focuses on wholehearted fare in his small kitchen. The aim is to let the ingredients shout their name in cooking that is precise, flavoursome and gloriously affordable!","
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
{
Private dining room
Take away
X
Visa credit card
€
With bedrooms
Show Less
",+32 87 77 18 66,https://www.lepredesoreades.be/,"Closed: dinner: Tuesday, Wednesday, lunch: Saturday",1,50.4920654,5.8627569
Domaine d'Auriac,https://guide.michelin.com/en/occitanie/carcassonne/restaurant/domaine-d-auriac,MICHELIN GUIDE FRANCE,"2535 route de Saint-Hilaire, Carcassonne, 11000, France",50 - 140 EUR,Classic Cuisine,"A distinguished residence with a decidedly elegant character. This setting is entirely appropriate for the carefully prepared cuisine, which is classical in inspiration but enlivened with a modern twist.","
T
Air conditioning
V
American Express credit card
f
Car park
Credit card / Debit card accepted
É
Garden or park
R
Lift
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
N
Particularly interesting wine list
{
Private dining room
X
Visa credit card
€
With bedrooms
Show Less
",+33 4 68 25 72 22,https://www.domaine-d-auriac.com,"Closed: 2 January-2 February, 6-22 November, 4 January-7 February, Monday",1,43.2038371,2.3603621
L'Ostal,https://guide.michelin.com/en/auvergne-rhone-alpes/clermont-ferrand/restaurant/l-ostal,MICHELIN GUIDE FRANCE,"16 rue Claussmann, Clermont-Ferrand, 63000, France",35 - 89 EUR,Modern Cuisine,"Go down the steep little street behind the cathedral and you will come upon ""L'Ostal"" – house, in the local dialect. Here, everything is volcanic, from the colours (orange fabrics for the lava, green for the meadows) to the exceptionally fine food, made using regional produce.","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
}
Mastercard credit card
Show More
",+33 4 73 27 77 86,http://www.lostal-restaurant.fr/,Nearby Restaurants,1,45.781034,3.0879595
Château de Vault de Lugny,https://guide.michelin.com/en/bourgogne-franche-comte/vault-de-lugny/restaurant/chateau-de-vault-de-lugny,MICHELIN GUIDE FRANCE,"11 rue du Château, Vault-de-Lugny, 89200, France",69 - 149 EUR,Modern Cuisine,"A majestic setting boasting grounds complete with a hundred-year-old plane tree, geese and peacocks, and a chef of Mauritian origin, who pays a fitting tribute to the produce of the estate's vegetable garden, scattering it with exotic touches. Impressive menu of Burgundy wines.","
f
Car park
Credit card / Debit card accepted
É
Garden or park
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
N
Particularly interesting wine list
û
Restaurant offering vegetarian menus
X
Visa credit card
€
With bedrooms
Show Less
",+33 3 86 34 07 86,https://www.lugny.fr/,"Closed: 25 November-31 March, 1 November-30 March, lunch: Monday-Wednesday",1,47.4958678,3.854418345
Sushi Tadokoro,https://guide.michelin.com/en/california/us-san-diego/restaurant/sushi-tadokoro,MICHELIN GUIDE CALIFORNIA,"2244 San Diego Ave., San Diego, 92110, United States",30 - 120 USD,"Japanese, Sushi","Located off the beaten path and in a modest strip mall, this mini sushi counter has been a mighty hit since throwing open its doors. Inside, servers move about with quiet efficiency as soft jazz plays in the background.","
T
Air conditioning
Booking essential - dinner
f
Car park
”
Counter dining
Credit card / Debit card accepted
E
Non-smoking restaurant
Take away
Show Less
",+1 619-297-0298,https://www.sushitadokoro.com/,"Closed: Monday, lunch: Thursday, Sunday",1,32.7482027,-117.1915005
Soichi,https://guide.michelin.com/en/california/us-san-diego/restaurant/soichi,MICHELIN GUIDE CALIFORNIA,"2121 Adams Ave., San Diego, 92116, United States",45 - 125 USD,"Japanese, Sushi","Named for Chef Soichi Kadoya, who honed his skills at Old Town's Sushi Tadokoro, this intimate Japanese restaurant has made a name for itself in University Heights. Pale yellow walls and a light wood counter set an understated elegance. Discover a bit of magic as you glance out the window—that bamboo fence out front hides a small garden and water feature that is only visible through the window.","
T
Air conditioning
Booking essential - dinner
”
Counter dining
Credit card / Debit card accepted
E
Non-smoking restaurant
1
Notable sake list
Take away
a
Wheelchair access
Show Less
",+1 619-677-2220,https://www.soichisushi.com/,"Closed: Monday, Tuesday, lunch: Wednesday-Sunday",1,32.762674,-117.141802
Jeune et Jolie,https://guide.michelin.com/en/california/carlsbad/restaurant/jeune-et-jolie,MICHELIN GUIDE CALIFORNIA,"2659 State St., Carlsbad, 92008, United States",49 - 90 USD,"French, Contemporary","Partner John Resnick and Executive Chef Eric Bost are behind this very appealing and well-orchestrated French restaurant. Oozing with style and elegance at every turn, the name—which translates to “young and pretty”—could just as easily illustrate the clientele and décor here.","
T
Air conditioning
Booking essential - dinner
f
Car park
Credit card / Debit card accepted
E
Non-smoking restaurant
r
Outside dining available
5
Small plates
a
Wheelchair access
Show Less
",+1 760-637-5266,www.jeune-jolie.com,"Closed: Monday, Tuesday, lunch: Wednesday-Sunday",1,33.16291315,-117.351752
Hana re,https://guide.michelin.com/en/california/us-costa-mesa/restaurant/hana-re,MICHELIN GUIDE CALIFORNIA,"2930 Bristol St., Costa Mesa, 92626, United States",200 USD,"Japanese, Sushi","Like so many sushi counters, this one too feels like a neighborhood secret, hidden in the back of a shopping mall with no large flashing sign to mark its entrance and overshadowed by far louder (read: busier) neighbors. And yet, this intimate gem is indeed worth seeking out, as the ten-seat counter offers the chance to enjoy a leisurely omakase under the impeccable guidance of Chef Atsushi Yokoyama.","
T
Air conditioning
Booking essential
f
Car park
”
Counter dining
Credit card / Debit card accepted
E
Non-smoking restaurant
1
Notable sake list
Show Less
",+1 714-545-2800,https://www.hanaresushi.com/,"Closed: Monday, lunch: Tuesday-Saturday, Sunday",1,33.6774401,-117.8857226
Taco María,https://guide.michelin.com/en/california/us-costa-mesa/restaurant/taco-maria,MICHELIN GUIDE CALIFORNIA,"3313 Hyland Blvd., Ste. C21, Costa Mesa, 92626, United States",45 - 84 USD,"Mexican, Contemporary","Nestled within an upscale galleria called The OC Mix, this simply appointed but highly desirable gem boasts one of the country’s most refined expressions of Mexican cuisine. Brought to you by the intensely creative Chef Carlos Salgado, lunch here focuses on elevated tacos. But in truth, this kitchen shines brightest at dinner, with a prix-fixe menu that's inspired by Salgado’s heritage and bolstered by top-notch produce and techniques honed during his fine-dining days.","
T
Air conditioning
V
American Express credit card
Booking essential
f
Car park
”
Counter dining
Credit card / Debit card accepted
M
Diners Club credit card
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
X
Visa credit card
a
Wheelchair access
Show Less
",+1 714-538-8444,https://www.tacomaria.com/,"Closed: Monday, lunch: Tuesday-Saturday, Sunday",1,33.6633386,-117.903317
Sushi I-NABA,https://guide.michelin.com/en/california/manhattan-beach/restaurant/sushi-i-naba,MICHELIN GUIDE CALIFORNIA,"1300 Highland Ave., Manhattan Beach, 90266, United States",25 - 220 USD,"Japanese, Sushi","How much buzz can a smattering of seats, a sushi counter, and a two-person operation generate? A lot, apparently, when you turn a simple space over to the deeply talented Chef Yasuhiro Hirano. Together with his wife—who runs the front of house—this tiny, unadorned spot is responsible for turning out some of the most exciting sushi in town.","
T
Air conditioning
Booking essential - dinner
”
Counter dining
Credit card / Debit card accepted
E
Non-smoking restaurant
Show Less
",+1 310-545-3345,Opening hours,MICHELIN GUIDE CALIFORNIA,1,33.8965846,-118.4159345
Knife Pleat,https://guide.michelin.com/en/california/us-costa-mesa/restaurant/knife-pleat,MICHELIN GUIDE CALIFORNIA,"3333 S. Bristol St., Ste. 3001, Costa Mesa, 92626, United States",22 - 135 USD,"Contemporary, Modern French","Set on the third floor of South Coast Plaza and nestled among fashionable neighbors (Louis Vuitton and Baccarat, anyone?), this steady operation is certainly able to hold its own. The space is small, elegant, and well-appointed, thanks to a central dining room decked out with curtain-draped windows, white beveled pillars, and a dramatic floral display.","
T
Air conditioning
Booking essential
f
Car park
Credit card / Debit card accepted
R
Lift
E
Non-smoking restaurant
r
Outside dining available
a
Wheelchair access
Show Less
",+1 714-266-3388,https://www.knifepleat.com/,"Closed: Monday, Sunday",1,33.6633386,-117.903317
Pasjoli,https://guide.michelin.com/en/california/santa-monica/restaurant/pasjoli,MICHELIN GUIDE CALIFORNIA,"2732 Main St., Santa Monica, 90405, United States",100 - 200 USD,"French, Contemporary","Chef Dave Beran presents this captivating French bistro, where standards like onion soup and beef tartare are elevated to their highest reaches. His menu teems with a parade of tempting dishes, thereby creating a particular challenge—keep things light with an endive salad and a delicate amalgam of crab, cream and pickled cauliflower. Otherwise, go full steam with a decadent pâté en croute.","
T
Air conditioning
Booking essential - dinner
Credit card / Debit card accepted
E
Non-smoking restaurant
Show More
",+1 424-330-0020,https://www.pasjoli.com/,Nearby Restaurants,1,34.00061822,-118.4823035
Sushi | Bar Montecito,https://guide.michelin.com/en/california/santa-barbara/restaurant/sushi-bar-montecito,MICHELIN GUIDE CALIFORNIA,"1295 Coast Village Rd., Santa Barbara, 93108, United States",145 USD,"Japanese, Sushi","Though it’s right by the tony Montecito Inn, this eatery from Chefs/owners Phillip Frankland Lee and Margarita Kallas-Lee is no ordinary omakase spot. Head sushi chef Lennon Silvers-Lee's nigiri are not just supremely finessed but also infused with original touches—like the dab of sweet corn “pudding” and sourdough breadcrumbs that coat slices of hamachi. Even traditional pairings become transcendent with his house-fermented soy sauce.","
T
Air conditioning
Booking essential
f
Car park
”
Counter dining
Credit card / Debit card accepted
E
Non-smoking restaurant
1
Notable sake list
K
Valet parking
a
Wheelchair access
€
With bedrooms
Show Less
",+1 805-845-9310,https://www.sushibarmontecito.com/,Closed: lunch: Monday-Sunday,1,34.421226,-119.640463
Rustic Canyon,https://guide.michelin.com/en/california/santa-monica/restaurant/rustic-canyon,MICHELIN GUIDE CALIFORNIA,"1119 Wilshire Blvd., Santa Monica, 90401, United States",62 - 97 USD,Californian,"Chef/partner Jeremy Fox and Executive Chef Andy Doubrava’s seasonal kitchen and wine bar already has the feeling of a timeless institution. The dining room and lounge are toasty and relaxed, largely thanks to a neighborhood vibe and boisterous local clients. A large picture window overlooking the street is a nice contrast against the dark wood tables and cushioned banquettes.","
T
Air conditioning
V
American Express credit card
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
N
Particularly interesting wine list
Take away
K
Valet parking
X
Visa credit card
a
Wheelchair access
Show Less
",+1 310-393-7050,www.rusticcanyonrestaurant.com,Closed: lunch: Monday-Sunday,1,34.0244818,-118.4917113
Mori Sushi,https://guide.michelin.com/en/california/us-los-angeles/restaurant/mori-sushi,MICHELIN GUIDE CALIFORNIA,"11500 W. Pico Blvd., Los Angeles, 90064, United States",75 - 150 USD,"Japanese, Sushi","Perfectionists will thrill to a meal at this Westside sushiya, where everything from the homemade tofu to the kitchen's selection of seasonal fish is nothing short of exquisite. Everything inside the dining room is finely calibrated to highlight the wizardry behind the ubiquitous bar—soft lighting, white walls, wood accents and handcrafted ceramics. Even the wine and sake list is restrained, with each varietal specifically chosen to complement the fish.","
T
Air conditioning
Booking essential - dinner
Credit card / Debit card accepted
E
Non-smoking restaurant
1
Notable sake list
Show Less
",+1 310-479-3939,https://www.morisushila.com/,"Closed: lunch: Monday-Saturday, Sunday",1,34.0336,-118.441768
Maude,https://guide.michelin.com/en/california/beverly-hills/restaurant/maude,MICHELIN GUIDE CALIFORNIA,"212 S. Beverly Dr., Beverly Hills, 90212, United States",150 USD,"Contemporary, European Contemporary","Every quarter of the year, Maude finds its new culinary theme in a wine region. Whether focusing on Italy's Tuscany or Spain’s Rioja, the menu is a creative exploration of the profound connection between food and drink. Despite having to refocus each season, the emphasis on viticulture and cuisine ensures its success as a wine destination.","
T
Air conditioning
Booking essential
Credit card / Debit card accepted
E
Non-smoking restaurant
N
Particularly interesting wine list
a
Wheelchair access
Show Less
",+1 310-859-3418,https://www.mauderestaurant.com/,Closed: lunch: Monday-Sunday,1,34.06454694,-118.3989648
CUT,https://guide.michelin.com/en/california/beverly-hills/restaurant/cut-559418,MICHELIN GUIDE CALIFORNIA,"9500 Wilshire Blvd., Beverly Hills, 90212, United States",75 - 230 USD,"Steakhouse, American","In contrast to its grand hotel setting, this bright and modern Wolfgang Puck retreat is buzzy, but whether you're dressed up or down, the hospitable servers will treat you like their favorite table.","
T
Air conditioning
V
American Express credit card
Booking essential
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
N
Particularly interesting wine list
{
Private dining room
K
Valet parking
X
Visa credit card
a
Wheelchair access
€
With bedrooms
Show Less
",+1 310-276-8500,https://www.wolfgangpuck.com/,"Closed: lunch: Monday-Saturday, Sunday",1,34.06699048,-118.4004602
Gucci Osteria da Massimo Bottura,https://guide.michelin.com/en/california/beverly-hills/restaurant/gucci-osteria-da-massimo-bottura-1190961,MICHELIN GUIDE CALIFORNIA,"347 N. Rodeo Dr., Beverly Hills, 90210, United States",145 - 195 USD,"Italian, Contemporary","Set amidst the luxury shops of Rodeo Drive, this osteria is housed within the renowned and glorious Gucci boutique. A full-length mirror by the elevator on the ground floor is ideal for last minute primping before riding up to the third floor, where the restaurant is located. Then, make your way into this striking space, dressed up with mostly alfresco tables, ringed by lush greenery, and set under a canvas canopy.","
T
Air conditioning
V
American Express credit card
Booking essential
Credit card / Debit card accepted
R
Lift
}
Mastercard credit card
E
Non-smoking restaurant
r
Outside dining available
N
Particularly interesting wine list
X
Visa credit card
a
Wheelchair access
Show Less
",+1 424-600-7490,https://www.gucci.com/us/en/store/osteria-bottura-beverly-hills/,"Closed: Monday, Tuesday",1,34.0685924,-118.402649
Nozawa Bar,https://guide.michelin.com/en/california/beverly-hills/restaurant/nozawa-bar,MICHELIN GUIDE CALIFORNIA,"212 N. Cañon Dr., Beverly Hills, 90210, United States",195 USD,"Japanese, Sushi","Nozawa Bar is an extraordinary little jewel box of a room and sushi counter, secreted away in the back of the Beverly Hills location of Sugarfish. Yet its menu, kitchen and overall spirit are totally independent of the local chain restaurant in which it is housed. Be sure to arrive on time, as each seating begins promptly.","
T
Air conditioning
V
American Express credit card
Booking essential
”
Counter dining
Credit card / Debit card accepted
}
Mastercard credit card
E
Non-smoking restaurant
K
Valet parking
X
Visa credit card
Show Less
",+1 424-216-6158,https://www.nozawabar.com/,"Closed: lunch: Monday-Saturday, Sunday",1,34.06813042,-118.3982683
Bell's,https://guide.michelin.com/en/california/los-alamos/restaurant/bell-s,MICHELIN GUIDE CALIFORNIA,"406 Bell St., Los Alamos, 93440, United States",28 - 50 USD,"French, Californian","This invitingly rustic dining room is nestled within a historic structure—a former bank—with a blue door flanked by potted palms. Inside, the furnishings exude a vintage vibe, as evidenced by weathered tile floors, whitewashed brick walls, and metal signs. An open window offers a peek into the kitchen, buzzing with casually dressed but attentive servers.","
T
Air conditioning
Booking essential - dinner
Credit card / Debit card accepted
E
Non-smoking restaurant
r
Outside dining available
N
Particularly interesting wine list
a
Wheelchair access
Show Less
",https://www.bellsrestaurant.com/,Opening hours,,1,34.74390115,-120.2793656
Shibumi,https://guide.michelin.com/en/california/us-los-angeles/restaurant/shibumi-559644,MICHELIN GUIDE CALIFORNIA,"815 S. Hill St., Los Angeles, 90014, United States",95 - 195 USD,"Japanese, Contemporary","There may be no more pleasurable place to learn about kappo-style cuisine, which has only recently made inroads into the American dining scene, than this stellar Japanese space, featuring a few tables and counter. The latter is crafted from a centuries-old cypress tree, set before chefs grating wasabi and a backdrop of amber-hued whisky. While the décor feels minimalist, surrounded by an industrial edge of soaring concrete ceilings and exposed pipes, service is wonderfully engaging and attentive, with thorough explanations of each unique course.","
T
Air conditioning
Booking essential
Credit card / Debit card accepted
E
Non-smoking restaurant
1
Notable sake list
K
Valet parking
a
Wheelchair access
Show Less
",+1 323-484-8915,https://www.shibumidtla.com/,"Closed: Monday, Tuesday, lunch: Wednesday-Sunday",1,34.04424243,-118.2561197
Q Sushi,https://guide.michelin.com/en/california/us-los-angeles/restaurant/q-sushi,MICHELIN GUIDE CALIFORNIA,"521 W. 7th St., Los Angeles, 90014, United States",150 - 300 USD,"Japanese, Sushi","Authenticity and tradition are paramount in this extraordinary little sushiya, which is sure to leave guests stunned from the start. Outside, there is nothing more than a modest beige-tiled façade with an enigmatic “Q” hanging above the door. Inside, vintage masks, pottery and lithographs bring a certain soul and spirit to the space.","
T
Air conditioning
Booking essential
”
Counter dining
Credit card / Debit card accepted
E
Non-smoking restaurant
1
Notable sake list
a
Wheelchair access
Show Less
",+1 213-225-6285,http://www.qsushila.com/,"Closed: Monday, lunch: Saturday, Sunday",1,34.0471462,-118.2559621
Le Comptoir,https://guide.michelin.com/en/california/us-los-angeles/restaurant/le-comptoir,MICHELIN GUIDE CALIFORNIA,"3606 W. 6th St., Los Angeles, 90020, United States",120 USD,"Californian, Vegetarian","Find this tiny sparkler tucked inside the historic Hotel Normandie and helmed by Chef Gary Menes along with his talented team. The name, French for “counter,” is a literal description of the space, which seats no more than ten guests before the stainless-steel kitchen, and features little more than a wine alcove to adorn the room. Such intimate seating means that the ambience depends primarily on the patrons, who are either uniformly quiet and contemplative or lively and interactive.","
T
Air conditioning
Booking essential
”
Counter dining
Credit card / Debit card accepted
E
Non-smoking restaurant
û
Restaurant offering vegetarian menus
K
Valet parking
€
With bedrooms
Show Less
",+1 213-290-0750,https://www.lecomptoirla.com/,"Closed: Monday, lunch: Tuesday, Wednesday, lunch: Thursday-Saturday, Sunday",1,34.06348338,-118.3006238
