Restaurant Name,place_id,Address,Country,Region,Price,Cuisine,Longitude,Latitude,Phone Number,Michelin Guide Post Link,Google Website Link,Michelin Award,Facilities And Services,Description,SFA Hygiene Grade,Safety Penalty,Review Count,Average Rating,value_tier,value_score,service_tier,service_score,taste_tier,taste_score,value_tier_numeric,service_tier_numeric,taste_tier_numeric,Is Michelin
Ji De Lai Hainanese Chicken Rice,ChIJpToFC4kX2jERtUcxbawUqvc,"Chong Pang Market and Food Centre, #01-152, 105 Yishun Ring Road, 760105, Singapore",Singapore,North,1.0,Street Food,103.8279349,1.4319385,9798 8788,https://guide.michelin.com/en/singapore-region/singapore/restaurant/ji-de-lai-hainanese-chicken-rice,"https://www.google.com/maps/place/Ji+De+Lai+Hainanese+Chicken+Rice/@1.4316922,103.8281505,17z/data=!3m1!4b1!4m6!3m5!1s0x31da17890b053aa5:0xf7aa14ac6d3147b5!8m2!3d1.4316922!4d103.8281505!16s%2Fg%2F11lkvfnf12?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=010cd7bd-92e4-4902-8dbe-61461ad8d996",Bib Gourmand,"Dine-in,Takeaway,NFC payments,Wheelchair accessible","Hainanese chicken rice comes with options like roasted or steamed chicken. Sets with rice, soup and vegetables are reasonably priced.",A,0,30,2.53,poor,0.7127,good,0.5023,good,0.7492,2.9,2.87,3.43,True
Ji Ji Noodle House,ChIJR0K6RgsZ2jER-XL41wcfgh4,"Hong Lim Market and Food Centre, #02-48/49, Blk 531A, Upper Cross Street, 051531, Singapore",Singapore,Central,1.0,Street Food,103.8457399,1.2851692,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/ji-ji-noodle-house,"https://www.google.com/maps/place/Ji+Ji+Wanton+Noodle+Specialist/@1.2852503,103.8458462,17z/data=!3m1!4b1!4m6!3m5!1s0x31da190b46ba4247:0x1e821f07d7f872f9!8m2!3d1.2852503!4d103.8458462!16s%2Fg%2F1ptvrksfq?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=2d4a0032-c256-485f-8a77-2cda8f27f29e",Bib Gourmand,"Dine-in,Takeaway,Cash only,Wheelchair accessible","Order the Ji Ji noodle bowl – noodle soup or ‘dry’ noodles are topped with char siew, deep-fried wonton and veggies and served with wonton soup. Pork crackling adds a lovely crunch. A dab of homemade chilli sauce is a must.",A,0,24,4.83,good,0.712,excellent,0.6014,good,0.8267,3.67,4.38,3.83,True
Jian Bo Shui Kueh (Tiong Bahru),ChIJe0hI93kZ2jERSGpNHUM_fD0,"Tiong Bahru Market, #02-05, 30 Seng Poh Road, 168898, Singapore",Singapore,Central,1.0,Street Food,103.83259,1.2846506,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/jian-bo-shui-kueh,"https://www.google.com/maps/place/Jian+Bo+Shui+Kueh/@1.2849131,103.8325965,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1979f748487b:0x3d7c3f431d4d6a48!8m2!3d1.2849131!4d103.8325965!16s%2Fg%2F11b8td8h2f?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=2fca5b08-f875-4bcf-8fc4-43b697539833",Selected Restaurants,"Dine-in,Takeaway,Delivery,Outdoor seating,Coffee,Cash only,Wheelchair accessible","Shui kueh is quintessential local street food: white rice cake with salted diced radish and a secret tung tsai sauce, packed with oomph. The house-made sambal, oozing in dried shrimp flavour, is perfect with the rice cake.",A,0,28,2.75,poor,0.6952,poor,0.5629,good,0.7951,2.82,3.0,3.11,True
Jian Bo Tiong Bahru Shui Kueh (Jurong West),ChIJu2nZw9wP2jERZtlEk2y-vno,"Jurong West 505 Market & Food Centre, #01-27, Blk 505, Jurong West Street 52, 640505, Singapore",Singapore,West,1.0,Street Food,103.7183594,1.3492969,9821 9880,https://guide.michelin.com/en/singapore-region/singapore/restaurant/jian-bo-tiong-bahru-shui-kueh,"https://www.google.com/maps/search/Jian+Bo+Tiong+Bahru+Shui+Kueh+Singapore+640505/@1.3626101,103.7846621,12z/data=!3m1!4b1?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=ebed7131-afb1-4da9-87d4-bdcd7ab8559f",Bib Gourmand,"Dine-in,Takeaway,Delivery,Outdoor seating,Coffee,Cash only,Wheelchair accessible","The rice cake with a sauce of preserved vegetables, sesame, dried shrimp and chilli is spicy and delicious.",A,0,25,2.76,poor,0.7669,good,0.4793,good,0.7613,2.88,3.04,3.12,True
Jiang-Nan Chun,ChIJqbrxYIwZ2jER0nv6PClRe_I,"Four Seasons Hotel, Level 2, 190 Orchard Boulevard, 248646, Singapore",Singapore,Central,3.0,Fine Dining,103.8288,1.304937,6831 7220,https://guide.michelin.com/en/singapore-region/singapore/restaurant/jiang-nan-chun,https://www.fourseasons.com/singapore/dining/restaurants/jiang_nan_chun/,Selected Restaurants,"Dine-in,Takeaway,Delivery,Reservations,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments,Wheelchair accessible","This exquisite space, reached via a marble staircase, is warm and welcoming, with heavy leather chairs that are especially comfortable. The kitchen team excels in barbecue meats, double-boiled soups and seafood dishes that use the freshest ingredients of the best quality. Try wok-fried Australian beef tenderloin with portobello mushrooms. Set menus are a great way to sample the popular hits all at once.",B,1,27,4.22,good,0.6962,excellent,0.7348,good,0.9333,3.7,4.26,3.85,True
Jiao Cai Seafood,ChIJX7YQllkV2jER9K96284PNGk,"Yishun Park Hawker Centre, #01-39, 51 Yishun Avenue 11, 768867, Singapore",Singapore,North,1.0,Street Food,103.8446508,1.4251958,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/jiao-cai-seafood,"https://www.google.com/maps/place/JIAO+CAI+Hotplate+BBQ%2FSeafood/@1.4251127,103.8446234,17z/data=!3m1!4b1!4m6!3m5!1s0x31da15599610b65f:0x69340fcedb7aaff4!8m2!3d1.4251127!4d103.8446234!16s%2Fg%2F11ghfnlckb?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=6e593388-299c-4de1-a3b3-17f1829485f0",Selected Restaurants,"Dine-in,Takeaway,Delivery,Wheelchair accessible",Cooked-to-order seafood dishes. Signature sambal stingray is spicy and delicious.,A,0,27,3.52,good,0.7234,good,0.5459,good,0.866,3.63,3.93,3.74,True
Jin Hua,ChIJi8yzSD8Y2jERk0sT8uN_4RE,"51 Old Airport Road Food Centre, #01-120, 51 Old Airport Road, 390051, Singapore",Singapore,Central,1.0,Street Food,103.8856982,1.3080902,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/jin-hua,"https://www.google.com/maps/place/Jin+Hua+Fish+Head+Bee+Hoon/@1.3083547,103.8860871,17z/data=!3m1!4b1!4m6!3m5!1s0x31da183f48b3cc8b:0x11e17fe3f2134b93!8m2!3d1.3083547!4d103.8860871!16s%2Fg%2F11cm0kqgy_?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=1843fe58-779a-4415-94e9-7b69fae9d9fa",Selected Restaurants,"Dine-in,Takeaway,Wine,Wheelchair accessible","Come here for flavourful made-to-order grouper broth with milk added for extra creaminess. Try the soup on its own or with bee hoon, sliced fish, fried fish meat and fried fish head. The spicy bean sauce and deep-fried shallot work magic with the broth.",A,0,29,3.93,good,0.6915,excellent,0.5465,good,0.8533,3.45,3.93,3.66,True
Jin Ting Wan,ChIJNRyXogUZ2jER6TJqkgATJmM,"Marina Bay Sands Hotel, Tower 1, Level 55, 10 Bayfront Avenue, 018956, Singapore",Singapore,Central,4.0,Cantonese,103.858496,1.2823222,6688 9969,https://guide.michelin.com/en/singapore-region/singapore/restaurant/jin-ting-wan,https://www.marinabaysands.com/restaurants/jin-ting-wan.html,Selected Restaurants,"Dine-in,Reservations,Beer,Wine,Credit cards,NFC payments","Perched atop the iconic Marina Bay Sands Hotel, the room affords gorgeous city and harbour views. Gold trim nicely contrasts with the muted dark blue walls in the Song Dynasty-inspired interior. Chef Albert Li is famous for his refined Cantonese fare, such as roasted pipa duck with black pepper sauce – the bird is deboned, minced and stuffed back into its own skin before being roasted to perfection. The predominantly Chinese wine list includes some rare gems.",B,1,29,4.17,good,0.6307,excellent,0.7969,good,0.8907,3.76,4.38,3.9,True
Joo Siah Bak Koot Teh,ChIJlS_61hgQ2jERtagY8-o8qb8,"Blk 349, #01-1215 Jurong East Avenue 1, 600349, Singapore",Singapore,West,1.0,Street Food,103.7313626,1.3445639,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/joo-siah-bak-koot-teh,"https://www.google.com/maps/place/Joo+Siah+Bak+Koot+Teh/@1.3445713,103.7315622,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1018d6fa2f95:0xbfa93ceaf318a8b5!8m2!3d1.3445713!4d103.7315622!16s%2Fg%2F11btwrvpp9?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=642ff5b0-dfea-432c-873a-e568d14a87fe",Bib Gourmand,"Dine-in,Takeaway,Outdoor seating,Beer,Coffee,NFC payments,Wheelchair accessible",The signature dish here is pepper-flavoured bak kut teh. The soft pork rib goes well with chilli soy sauce. Earlier closing hours on Sunday.,B,1,27,4.11,good,0.648,good,0.5011,good,0.8965,3.48,3.93,3.89,True
Jungle,ChIJGdOLalsZ2jERi0P0spKHN0A,"10 Ann Siang Hill, 069789, Singapore",Singapore,Central,2.0,Thai,103.8453743,1.281413,8389 2258,https://guide.michelin.com/en/singapore-region/singapore/restaurant/jungle,https://jungle.sg/,Bib Gourmand,"Dine-in,Reservations,Outdoor seating,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments","The simple, cosy space with exposed beams and wooden furnishings exudes a warm feel. Balancing sweet, sour and salty notes with fiery heat, the chef turns fresh produce into modern Thai dishes that are packed with flavour. The small menu changes regularly but may include signatures such as smoky chargrilled pork jowl, or yellow crab curry with beautifully bold aromas. The friendly and dynamic service team is also a plus.",B,1,27,4.81,good,0.679,excellent,0.748,good,0.9339,4.11,4.85,4.07,True
KOK Sen,ChIJ1UPefHIZ2jERNw75Jntk0oM,"2/4 Keong Saik Road, 089112, Singapore",Singapore,Central,2.0,Singaporean,103.841681,1.2802718,6223 2005,https://guide.michelin.com/en/singapore-region/singapore/restaurant/kok-sen,"https://www.google.com/maps/place/KOK+Sen+Restaurant/@1.2794333,103.8416097,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19727cde43d5:0x83d2647b26f90e37!8m2!3d1.2794333!4d103.8416097!16s%2Fg%2F1tp24swp?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=0d296915-e457-401f-b6e6-4dc949fa1499",Bib Gourmand,"Dine-in,Takeaway,Reservations,Outdoor seating,Beer,Credit cards,NFC payments","For over 50 years, Kok Sen has been feeding hungry diners with cze char classics, such as their stir-fries boasting exceptional wok hei. Look out for the colourful lightboxes with signature items like prawn paste chicken or fish cooked in various ways. Seating may be a bit cramped, but the round tables and green booth seats work well with a grey colour scheme and pale wood. Given the small number of tables, expect to queue.",B,1,24,3.04,good,0.6404,good,0.5943,good,0.7855,3.08,3.38,3.38,True
Kairyu Omakase,ChIJART8BSoZ2jERSA7Ewt6tKCo,"Wilkie Edge, #01-23/24, 8 Wilkie Road, 228095, Singapore",Singapore,Central,3.0,Sushi,103.8495012,1.301895,8031 3633,https://guide.michelin.com/en/singapore-region/singapore/restaurant/sushi-yuki,https://www.sushiyuki.com.sg/,Selected Restaurants,"Dine-in,Reservations,Beer,Wine,Credit cards,NFC payments","After helming a renowned sushiya in Singapore for 10 years, chef Yukinori Kawakami has brought his experience to Sushi Yuki. Omakase and kaiseki set menus, at different price points, feature fish flown in from Japan four times a week. Sushi rice from Yamagata Prefecture is dressed in a blend of two vinegars for a delicate taste that accentuates the natural flavours of the fish. There are just 13 counter seats and two private rooms, so booking is recommended.",A,0,21,4.76,good,0.8091,excellent,0.7891,good,0.943,4.05,4.62,4.14,True
Kang Le Fishball Noodles,ChIJ4_Wju9wP2jERPjT8rjcKIjs,"Jurong West 505 Market & Food Centre, #01-29, Blk 505, Jurong West Street 52, 640505, Singapore",Singapore,West,1.0,Street Food,103.7184954,1.3496779,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/kang-le-fishball-noodles,"https://www.google.com/maps/place/%E5%BA%B7%E4%B9%90%E9%B1%BC%E5%9C%86%E9%9D%A2+Kang+Le+Fishball+Noodles/@1.3499318,103.7183585,17z/data=!3m1!4b1!4m6!3m5!1s0x31da0fdcbba3f5e3:0x3b220a37aefc343e!8m2!3d1.3499318!4d103.7183585!16s%2Fg%2F11jngb257j?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=83450e02-be1e-4457-9b6e-7f7875e4b0c5",Selected Restaurants,"Dine-in,Takeaway,Wheelchair accessible","Although the menu also offers laksa, pork balls and fish dumpling soup, the bouncy, flavoursome fishballs with noodles remain its speciality. Choose between wheat or rice noodles, served in a clear broth or tossed in sauces.",B,1,19,4.68,good,0.7355,good,0.5165,good,0.9059,3.68,3.95,4.0,True
Kang's Wanton Noodle,ChIJDcuaEYMZ2jEREIl_YTXSlKw,"Zion Riverside Food Centre, #06, 70 Zion Road, 247792, Singapore",Singapore,Central,1.0,Street Food,103.83122,1.29236,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/kang-s-wanton-noodle,"https://www.google.com/maps/place/Kang's+Wanton+Noodle+(%2301-06)/@1.2924504,103.831136,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1983119acb0d:0xac94d235617f8910!8m2!3d1.2924504!4d103.831136!16s%2Fg%2F1tddpq20?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=9b13d7aa-c9e4-4d7a-89f6-9f2afafd1987",Selected Restaurants,"Dine-in,Takeaway,Wheelchair accessible","Alongside wanton or dumpling noodle soup, this stall serves deep-fried wanton and char siew. The springy noodles are best enjoyed with a dollop of chilli sauce, while the wantons encase a tasty filling in their paper-thin skin.",B,1,28,4.5,good,0.7099,good,0.5123,good,0.8771,3.57,4.0,4.0,True
Kelantan Kway Chap Pig's Organ Soup,ChIJX3bZ-7cZ2jERuW9hZD0FomE,"Berseh Food Centre, #02-39, 166 Jalan Besar, 208877, Singapore",Singapore,Central,1.0,Street Food,103.85674,1.3073595,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/kelantan-kway-chap-pig-organ-soup,"https://www.google.com/maps/place/Kelantan+Kway+Chap+%E2%80%A2+Pig's+Organ+Soup+%E5%90%89%E8%98%AD%E4%B8%B9%E7%B2%BF%E6%B1%81%E2%80%A2%E7%8C%AA%E4%BB%80%E6%B1%A4/@1.3073468,103.8567897,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19b7fbd9765f:0x61a2053d64616fb9!8m2!3d1.3073468!4d103.8567897!16s%2Fg%2F11c32f0knl?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=59fa43dd-2a10-4cb3-91bc-4365b9f8cd79",Bib Gourmand,"Dine-in,Wheelchair accessible","Pork cuts and offal like belly, trotter, intestines and skin are cooked in a soy-based marinade with spices. The depth and rich flavours of the meat are the perfect accompaniment to the kway chap ribbon noodles.",A,0,30,3.6,good,0.776,excellent,0.5706,good,0.8174,3.17,3.73,3.4,True
Keng Eng Kee (Bukit Merah),ChIJu1Ef88sb2jER3Fc3W0QRoq8,"Blk 124, #01-136, Bukit Merah Lane 1, 150124, Singapore",Singapore,Central,1.0,Seafood,103.8037043,1.2857642,6272 1038,https://guide.michelin.com/en/singapore-region/singapore/restaurant/keng-eng-kee,https://www.kek.com.sg/,Selected Restaurants,"Dine-in,Takeaway,Delivery,Reservations,Outdoor seating,Beer,Coffee,Credit cards,NFC payments,Wheelchair accessible","This popular cze char restaurant may not be the most conveniently placed, but it does some great dishes, like fried salted egg crab, coffee pork ribs and claypot duck with sea cucumber. The setting and environment are not unlike a hawker centre, although there is a smaller inside area that’s air-conditioned. It provides mostly Hainanese cuisine, along with some Cantonese dishes – the stir-fries are particularly delicious.",B,1,20,4.3,good,0.7321,excellent,0.631,good,0.8268,3.15,3.8,3.75,True
Ki Su,ChIJOwdnq7cZ2jERSCAJQh3m_iY,"#01-01, 60 Tras Street, 078999, Singapore",Singapore,Central,2.0,Vegetarian,103.8441991,1.2778193,8522 6824,https://guide.michelin.com/en/singapore-region/singapore/restaurant/ki-su,https://www.kisu.com.sg/,Selected Restaurants,"Dine-in,Reservations,Credit cards,NFC payments","In a minimalistic room, the Taiwanese owner-chef serves an omakase menu of creative vegetarian courses in which Japanese and French culinary traditions converge. Modern cooking techniques like sous vide are used to imbue plant-based ingredients with meaty flavours and textures. Smoked capsicum and pumpkin purée are made to look like akami and uni in their nigiri sushi. The menu changes regularly to keep it fresh.",B,1,27,4.96,good,0.6948,excellent,0.8506,good,0.9402,4.04,4.85,4.22,True
Kitchenman Nasi Lemak,ChIJg1pOiD0Z2jERavAWxT7kZdU,"CT Hub, #01-08/13, 2 Kallang Avenue, 339407, Singapore",Singapore,Central,1.0,Malaysian,103.8628154,1.3120852,9142 6586,https://guide.michelin.com/en/singapore-region/singapore/restaurant/kitchenman-nasi-lemak,https://kitchenmannasilemak.oddle.me/en_SG,Bib Gourmand,"Dine-in,Takeaway,Delivery,Coffee,Cash only","The Malaysian owner opened this simple shop in 2024, specialising in authentic nasi lemak, often considered the national dish of his home country. The chef, who is also Malaysian, cooks rice in coconut milk with pandan leaves, and garnishes it with fried anchovies, peanuts, fried egg, sliced cucumber and spicy sambal. For a substantial meal, add sides such as ayam berempah (fried chicken leg), rendang chicken or ayam kunyit (turmeric chicken).",B,1,27,4.59,good,0.6894,excellent,0.5837,good,0.9488,3.56,4.59,3.89,True
Koh Brother Pig's Organ Soup,ChIJe0hI93kZ2jERhs27NdY2Wwc,"Tiong Bahru Market, #02-29, 30 Seng Poh Road, 168898, Singapore",Singapore,Central,1.0,Street Food,103.832764,1.2850432,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/koh-brother-pig-s-organ-soup,"https://www.google.com/maps/place/Koh+Brother+Pig's+Organ+Soup/@1.2845558,103.832287,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1979f748487b:0x75b36d635bbcd86!8m2!3d1.2845558!4d103.832287!16s%2Fg%2F11bx2kqx7r?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=5086dcbc-7087-4c97-ba30-eef28bb56c46",Bib Gourmand,"Dine-in,Takeaway",Pork offal like tripe and liver is served with meatballs and sliced pork in a peppery broth with pickled mustard greens. Dip the pork into chilli sauce for an extra kick. Also try the sticky rice sausage stuffed with pork belly and chestnuts.,A,0,26,4.42,good,0.496,excellent,0.3908,good,0.8315,3.81,4.27,3.73,True
Koka Wanton Noodle,ChIJMRR_ybUZ2jER6KjgzH_w2v0,"North Bridge Road Market & Food Centre, #01-99, 861 North Bridge Road, 198783, Singapore",Singapore,Central,1.0,Street Food,103.8636367,1.3058048,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/koka-wanton-noodles,"https://www.google.com/maps/place/Koka+Wanton+Noodle/@1.3057161,103.8636504,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19b5c97f1431:0xfddaf07fcce0a8e8!8m2!3d1.3057161!4d103.8636504!16s%2Fg%2F11gbfrymr8?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=a20a6d33-9a5b-4b68-82b6-9a03209d5927",Selected Restaurants,"Dine-in,Takeaway,Wheelchair accessible",Barbecue pork with wonton noodles is the signature. Deep-fried pork skin and chillies enrich the flavour.,B,1,26,3.04,poor,0.649,poor,0.5003,good,0.7376,2.96,2.92,3.15,True
Kotuwa,ChIJzRZB96IZ2jERED_QuYwPN8Q,"New Bahru, #01-03, 46 Kim Yam Road, 239351, Singapore",Singapore,Central,2.0,Sri Lankan,103.8388373,1.2929748,6518 4278,https://guide.michelin.com/en/singapore-region/singapore/restaurant/kotuwa,https://kotuwa.com.sg,Bib Gourmand,"Dine-in,Takeaway,Delivery,Reservations,Outdoor seating,Beer,Wine,Cocktails,Coffee,Credit cards,Wheelchair accessible","Moved to this spot in 2024, Kotuwa is named after the CBD of Colombo. From quintessential Sri Lankan street food to curries, every bite is loaded with big flavours. Seafood is their strong suit, especially crab prepared in myriad ways. With its balanced, layered flavours and the subtle warmth of cinnamon, the crab curry really stands out. Hoppers – crispy pancakes made with fermented rice – are perfect for mopping up the delicious curry sauce.",B,1,28,4.0,good,0.6621,excellent,0.7467,good,0.8536,3.64,4.18,3.82,True
Kwang Kee Teochew Fish Porridge,ChIJPbO-7-sZ2jER1zjzFT3nUyY,"Newton Food Centre, #01-20, 500 Clemenceau Avenue North, 229495, Singapore",Singapore,Central,1.0,Street Food,103.8393125,1.3118717,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/kwang-kee-teochew-fish-porridge,"https://www.google.com/maps/place/Kwang+Kee+Teochew+Fish+Porridge/@1.3121155,103.8203346,15z/data=!3m1!5s0x31da19ec07180adf:0x2a785cbf409d5933!4m7!3m6!1s0x31da19ebefbeb33d:0x2653e73d15f338d7!8m2!3d1.3121155!4d103.839389!15sCh9Ld2FuZyBLZWUgVGVvY2hldyBGaXNoIFBvcnJpZGdlWiEiH2t3YW5nIGtlZSB0ZW9jaGV3IGZpc2ggcG9ycmlkZ2WSAQxoYXdrZXJfc3RhbGyaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnllRTAzU1U1QkVBReABAPoBBAgAEC8!16s%2Fg%2F11j2fllq6z?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=287d6556-1812-4b51-a5f9-28bf3ee13b05",Bib Gourmand,"Dine-in,Takeaway",Fish porridge and fried fish bee hoon. The porridge is sweet with abundant fish fillets.,B,1,26,3.77,good,0.7862,excellent,0.5721,good,0.9117,3.54,3.88,3.5,True
Kwee Heng,ChIJJczvxGIZ2jER4wtULz2lCbg,"Newton Food Centre, #01-13, 500 Clemenceau Avenue North, 229495, Singapore",Singapore,Central,1.0,Street Food,103.8395432,1.312026,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/kwee-heng,"https://www.google.com/maps/place/Kwee+Heng+%E8%B4%B5%E5%85%B4/@1.3118541,103.8397063,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1962c4efcc25:0xb809a53d2f540be3!8m2!3d1.3118541!4d103.8397063!16s%2Fg%2F11jvbqzmtb?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=37aaa507-a49b-452c-a51b-d2befdffffcf",Bib Gourmand,"Dine-in,Takeaway,Beer,Wheelchair accessible","With over 40 years of history, Kwee Heng makes boneless braised duck that is tender, juicy and flavoursome; it can be served with rice, congee or noodles. Other dishes such as Hainanese chicken and char siew are also available.",A,0,28,3.93,good,0.7435,good,0.5705,good,0.9048,3.46,3.64,3.46,True
L'antica Pizzeria Da Michele,ChIJp-p9TQAZ2jERsKCEh6lgKcQ,"Mercure ICON Hotel, #01-08, 8 Club Street, 069472, Singapore",Singapore,Central,2.0,Italian,103.846653,1.282597,9823 5724,https://guide.michelin.com/en/singapore-region/singapore/restaurant/l-antica-pizzeria-da-michele,"https://www.google.com/maps/place/L'antica+Pizzeria+Da+Michele,+Singapore/@1.2826167,103.8464189,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19004d7deaa7:0xc42960a98784a0b0!8m2!3d1.2826167!4d103.8464189!16s%2Fg%2F11vsh_5hp0?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=a1bec6dd-e612-42ce-a7cc-dd2696d573d3",Selected Restaurants,"Dine-in,Takeaway,Delivery,Reservations,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments,Wheelchair accessible","This 150-year-old Neapolitan pizza chain opened their first Asian outpost in 2024 and offers 18 different toppings. All the pizzas are made to order and come in one size only – 15 inches (37cm). Piled high with freshly cooked tomato sauce and cheese, the thin crust is perfectly crisp and chewy at the same time. If you can’t make up your mind, opt for a Marita – half marinara half margherita. The menu also offers starters, pasta and desserts.",New,New Pending,26,4.31,good,0.7925,excellent,0.7902,good,0.8832,3.54,4.15,3.77,True
La D'Oro,ChIJdb-fzcQZ2jER8wqPLVAb8WI,"Mandarin Gallery, #01-16/17, 333A Orchard Road, 238897, Singapore",Singapore,Central,3.0,Italian,103.8361885,1.3022251,8382 6200,https://guide.michelin.com/en/singapore-region/singapore/restaurant/la-d-oro,https://www.ladoro.sg/ladoro,Selected Restaurants,"Reservations,Wine,Coffee,Wheelchair accessible","Hailing from Tokyo, Japan, chef-owner Sasaki honed his skills in Italy. His ambitious kappo-style cooking effortlessly blends Italian traditions with Japanese influences, delivering complex, original creations underpinned by modern techniques. His signature Hokkaido uni pasta seduces with its silky sauce; shavings of Sardinian bottarga add extra umami. Besides fixed à la carte choices, there is a regularly changing tasting menu to reflect seasonality.",A,0,25,4.56,good,0.8183,excellent,0.8646,good,0.9406,3.72,4.48,3.68,True
Lagnaa,ChIJM2Sm67gZ2jERh4FYSf0QQNo,"6 Upper Dickson Road, 207466, Singapore",Singapore,Central,2.0,Indian,103.8522508,1.306444,6296 1215,https://guide.michelin.com/en/singapore-region/singapore/restaurant/lagnaa,https://www.lagnaa.com,Bib Gourmand,"Dine-in,Takeaway,Delivery,Reservations,Outdoor seating,Beer,Wine,Cocktails,Coffee,Credit cards,NFC payments,Wheelchair accessible","You can specify the level of spiciness of your food at this three-storey restaurant in Little India, though many come for the Chilli Challenge on full moon nights simply to push their limit. But spiciness isn’t all that this chef has to offer – in fact, he balances it with sweet, sour, salty, bitter and astringent flavours. Choose between table seating downstairs and floor seating upstairs. Parties of two have a number of set menus to choose from.",New,New Pending,24,4.92,excellent,0.7157,excellent,0.8436,good,0.9577,4.38,4.79,4.33,True
Lai Heng Handmade Teochew Kueh,ChIJfx17mB8Q2jER9hWT9WvbLLs,"Yuhua Market & Hawker Centre, #01-218, Blk 347, Jurong East Avenue 1, Jurong East, 600347, Singapore",Singapore,West,1.0,Street Food,103.7310891,1.3452103,No Phone Number Listed,https://guide.michelin.com/en/singapore-region/singapore/restaurant/lai-heng-handmade-teochew-kueh,"https://www.google.com/maps/place/Lai+Heng+Handmade+Teochew+Kueh/@1.3451582,103.7311231,17z/data=!3m1!4b1!4m6!3m5!1s0x31da101f987b1d7f:0xbb2cdb6bf59315f6!8m2!3d1.3451582!4d103.7311231!16s%2Fg%2F1tg4yy54?entry=tts&g_ep=EgoyMDI2MDMxOC4xIPu8ASoASAFQAw%3D%3D&skid=7a1382a0-4120-4a08-96f7-d9e6ea52071f",Bib Gourmand,"Takeaway,Delivery",Handmade Teochew kueh with various flavours. Steamed or pan-fried versions available.,B,1,27,4.52,good,0.6359,excellent,0.5513,good,0.8942,3.7,4.33,4.15,True
