restaurant_name,name,award,price,cuisine,latitude,longitude,matched_sfa_name,hygiene_grade
sushi yuki,Sushi Yuki,Selected Restaurants,$$$,Sushi,1.301895,103.8495012,tatsu sushi (s) pte ltd,A
ce soir,Ce Soir,Selected Restaurants,$$$,Asian Contemporary,1.2942933,103.7960641,,
esquina,Esquina,Selected Restaurants,$$,Spanish,1.2799309,103.8420297,,
gunther's,Gunther's,Selected Restaurants,$$$,French Contemporary,1.296602,103.8549,seafood paradise (s) pte. ltd.,A
fleur de sel,Fleur de Sel,Selected Restaurants,$$,French,1.2777778,103.84417,fleur de sel le restaurant pte. ltd.,A
heng long bbq chicken rice,Heng Long BBQ Chicken Rice,Selected Restaurants,$,Street Food,1.2932654,103.8028365,lau di fang scissors-cut curry rice pte. ltd.,A
rempapa,Rempapa,Selected Restaurants,$,South East Asian,1.2896985,103.8512862,,
claudine,Claudine,Selected Restaurants,$$,French,1.3048538,103.8134286,tan yin tzer claudine,A
chomp chomp satay,Chomp Chomp Satay,Selected Restaurants,$,Street Food,1.3642842,103.8664665,syifa' satay limited liability partnership,
new world mutton soup,New World Mutton Soup,Selected Restaurants,$,Street Food,1.324706,103.9306438,soup restaurant singapore pte. ltd.,A
hock hai (hong lim) curry chicken noodle,Hock Hai (Hong Lim) Curry Chicken Noodle,Selected Restaurants,$,Street Food,1.324642,103.9306401,gan hock lim,A
ann chin handmade popiah,Ann Chin Handmade Popiah,Selected Restaurants,$,Street Food,1.2820232,103.8433404,chin boon fah,A
singapore famous rojak,Singapore Famous Rojak,Selected Restaurants,$,Street Food,1.3008879,103.8543306,cold storage singapore (1983) pte ltd,A
gordon grill,Gordon Grill,Selected Restaurants,$$,European Contemporary,1.3088935,103.8343348,market grill pte. ltd,A
ibid,Ibid,Selected Restaurants,$$$,Innovative,1.2863152,103.848305,project ibid pte. ltd.,A
mustard,Mustard,Selected Restaurants,$$,Indian,1.307995,103.850682,,
open farm community,Open Farm Community,Selected Restaurants,$$,International,1.305662,103.8161,open farm community pte ltd,A
sin hoi sai (tiong bahru),Sin Hoi Sai (Tiong Bahru),Selected Restaurants,$$,Seafood,1.2847942,103.8341,mah hock tiong,B
jade palace,Jade Palace,Selected Restaurants,$$,Seafood,1.3059609,103.828514,crystal jade palace restaurant pte ltd?,A
national kitchen,National Kitchen,Selected Restaurants,$$,Singaporean,1.2896,103.85155,kitchen language pte. ltd.,A
luke's,Luke's,Selected Restaurants,$$,Steakhouse,1.282271,103.8472284,seafood paradise (s) pte. ltd.,A
zhang ji shanghai la mian xiao long bao,Zhang Ji Shanghai La Mian Xiao Long Bao,Selected Restaurants,$,Street Food,1.2859524,103.8042849,gao ji food (s) pte ltd,A
hup hong chicken rice,Hup Hong Chicken Rice,Selected Restaurants,$,Street Food,1.3436675,103.7376637,texas chicken restaurant pte. ltd.,A
foc (central),Foc (Central),Selected Restaurants,$$,Spanish,1.2803032,103.8416179,central perk pte. ltd.,A
da po,Da Po,Selected Restaurants,$,Street Food,1.3029969,103.8639417,da paolo group pte. ltd.,A
osteria mozza,Osteria Mozza,Selected Restaurants,$$,Italian,1.3022687,103.8359587,osteria italia pte. ltd.,A
maxwell fuzhou oyster cake,Maxwell Fuzhou Oyster Cake,Selected Restaurants,$,Street Food,1.28033,103.84473,bedok nth 85 fried oyster carrot cake llp,B
toa payoh 93 soon kueh,Toa Payoh 93 Soon Kueh,Selected Restaurants,$,Street Food,1.32144,103.870173,mouth restaurant (toa payoh) pte ltd,A
mellben seafood (ang mo kio),Mellben Seafood (Ang Mo Kio),Selected Restaurants,$$,Seafood,1.36839,103.83717,forum seafood village restaurant pte. ltd.,B
straits chinese (cecil street),Straits Chinese (Cecil Street),Selected Restaurants,$$,Peranakan,1.2803461,103.8489224,authentic hock lam street popular beef kuay teow pte ltd,A
shanyuan teochew kway teow mian,Shanyuan Teochew Kway Teow Mian,Selected Restaurants,$,Street Food,1.3058048,103.8636367,authentic hock lam street popular beef kuay teow pte ltd,A
nyonya chendol,Nyonya Chendol,Selected Restaurants,$,Street Food,1.4318534,103.8279828,nyonya binte mohamed shah,B
fu he turtle soup,Fu He Turtle Soup,Selected Restaurants,$,Street Food,1.3075565,103.8568638,soup restaurant singapore pte. ltd.,A
butcher's block,Butcher's Block,Selected Restaurants,$$$,Meats and Grills,1.2953284,103.8538526,seafood paradise (s) pte. ltd.,A
sushi masaaki,Sushi Masaaki,Selected Restaurants,$$$$,Sushi,1.2939051,103.855084,tatsu sushi (s) pte ltd,A
les amis,Les Amis,3 Stars,$$$$,French,1.30626,103.83204,les amis holding pte ltd,A
odette,Odette,3 Stars,$$$$,French Contemporary,1.2896459,103.8516,odette restaurant pte. ltd.,A
zén,Zén,3 Stars,$$$$,European Contemporary,1.2796271,103.84042,maznah bte majid,B
cloudstreet,Cloudstreet,2 Stars,$$$$,Innovative,1.280977,103.8470099,,
sushi sakuta,Sushi Sakuta,2 Stars,$$$$,Sushi,1.2943463,103.8506988,tatsu sushi (s) pte ltd,A
thevar,Thevar,2 Stars,$$$$,Innovative,1.29362,103.841477,palaniappa thevar subbaiah,B
jaan by kirk westaway,Jaan by Kirk Westaway,2 Stars,$$$,British Contemporary,1.293387,103.85314,the soul kitchen by big d pte. ltd.,A
saint pierre,Saint Pierre,2 Stars,$$$$,French Contemporary,1.2862377,103.854219,saint pierre pte ltd,A
meta,Meta,2 Stars,$$$,Innovative,1.29391,103.8417604,meta restaurant pte. ltd.,A
shoukouwa,Shoukouwa,2 Stars,$$$$,Sushi,1.2863698,103.854,shoukouwa restaurant pte. ltd.,A
lerouy,Lerouy,1 Star,$$$,French Contemporary,1.293924,103.841922,,
hill street tai hwa pork noodle,Hill Street Tai Hwa Pork Noodle,1 Star,$,Street Food,1.3052,103.8624,hill street tai hwa pork noodle pte ltd,B
iggy's,Iggy's,1 Star,$$$,European Contemporary,1.3059244,103.8293379,iggy's pte ltd,A
waku ghin,Waku Ghin,1 Star,$$$$,Japanese Contemporary,1.283175,103.8598,,
ma cuisine,Ma Cuisine,1 Star,$$$,French,1.2782652,103.8418934,ma cuisine pte. ltd.,A
nouri,Nouri,1 Star,$$$$,Innovative,1.28086,103.84713,nourish pte. ltd.,A
summer pavilion,Summer Pavilion,1 Star,$$,Cantonese,1.291284,103.8603,royal pavilion hospitality consultancy pte. ltd.,A
cut,CUT,1 Star,$$$,Steakhouse,1.2857261,103.8597843,the daily cut pte. ltd.,A
shisen hanten,Shisen Hanten,1 Star,$$,"Sichuan, Cantonese",1.302395,103.8365,,
sushi ichi,Sushi Ichi,1 Star,$$$$,Sushi,1.305105,103.8324,ginza sushi ichi pte. ltd.,A
burnt ends,Burnt Ends,1 Star,$$$,Barbecue,1.3048886,103.8086664,burnt ends restaurant pte ltd,
labyrinth,Labyrinth,1 Star,$$$,"Innovative, Singaporean",1.2897489,103.8563,labyrinth food pte. ltd.,A
imperial treasure fine teochew cuisine (orchard),Imperial Treasure Fine Teochew Cuisine (Orchard),1 Star,$$,Teochew,1.304144,103.83147,artemis fine foods a.s. pte ltd,A
chaleur,Chaleur,1 Star,$$$,Innovative,1.279252,103.842122,,
araya,Araya,1 Star,$$$$,"Innovative, Chilean",1.278868,103.841816,narayama japan food pte ltd,
buona terra,Buona Terra,1 Star,$$$,Italian Contemporary,1.3107414,103.8348231,99 buona vista kitchen pte. ltd.,B
pangium,Pangium,1 Star,$$$,Peranakan,1.3143675,103.8092377,,
candlenut,Candlenut,1 Star,$$,Peranakan,1.3058588,103.8100724,candlenut kitchen pte. ltd.,A
jag,Jag,1 Star,$$$,French Contemporary,1.29094,103.84028,jag restaurants pte. ltd.,A
willow,Willow,1 Star,$$$,Asian Contemporary,1.2874604,103.8473514,,
hamamoto,Hamamoto,1 Star,$$$$,Sushi,1.2779413,103.8441838,,
whitegrass,Whitegrass,1 Star,$$$,French Contemporary,1.2955388,103.8519798,,
summer palace,Summer Palace,1 Star,$$$,Cantonese,1.3046521,103.8247494,palace marina pte. ltd.,
born,Born,1 Star,$$$$,Innovative,1.2803952,103.843918,borneo properties sdn. bhd.,A
seroja,Seroja,1 Star,$$$,"Malaysian, Contemporary",1.2998671,103.858076,,
marguerite,Marguerite,1 Star,$$$,European Contemporary,1.2849725,103.8639515,,
nae:um,Nae:um,1 Star,$$$,Korean Contemporary,1.28033,103.84755,,
lei garden,Lei Garden,1 Star,$$,Cantonese,1.29538,103.85162,lei garden restaurant pte ltd,B
ingleside,Ingleside,Selected Restaurants,$$,European Contemporary,1.2782014,103.8446191,,
station by kotuwa,Station by Kotuwa,Selected Restaurants,$$,Sri Lankan,1.2812755,103.8485355,cu mr food station pte. ltd.,
les ducs,Les Ducs,Selected Restaurants,$$,French,1.2816591,103.8454053,les bouchons pte. ltd.,A
magpie,Magpie,Selected Restaurants,$$,Contemporary,1.2849632,103.8332262,,
hayop,Hayop,Selected Restaurants,$$,"Filipino, Contemporary",1.2817671,103.8474694,,
belimbing,Belimbing,Selected Restaurants,$$,"Innovative, Singaporean",1.3008122,103.8601196,li li,A
dill,Dill,Selected Restaurants,$$,Scandinavian,1.2790267,103.8434029,faizah binte padillah,A
jin ting wan,Jin Ting Wan,Selected Restaurants,$$$$,Cantonese,1.2823222,103.858496,jin fine dining pte. ltd.,A
gaston,Gaston,Selected Restaurants,$$,French,1.2798386,103.8414273,gaston pte. ltd.,A
rajarani thosai,Rajarani Thosai,Selected Restaurants,$,Street Food,1.3454596,103.9445598,,
yi pin wei braised duck．kway chap,Yi Pin Wei Braised Duck．Kway Chap,Selected Restaurants,$,Street Food,1.3454935,103.944715,shang pin pte. ltd.,A
yummy sarawak kolo mee,Yummy Sarawak Kolo Mee,Selected Restaurants,$,Street Food,1.345531,103.9447526,chilli pan mee (batu rd) pte. ltd.,B
